Username,Freq(11pm-6am),Freq(6am-11pm),Total Freq
FranQuintanilla,0.0,1.0,1.0
superxleyley,1.0,0.0,1.0
muserine,1.0,0.0,1.0
onemanrock,0.0,1.0,1.0
MammaSteph,0.0,1.0,1.0
Geidner,0.0,1.0,1.0
mollymcxc,0.0,1.0,1.0
jess_lawes,0.0,1.0,1.0
Heddyy,0.0,1.0,1.0
sheilal1,0.0,1.0,1.0
sumitmenon,2.0,0.0,2.0
GGSophie,0.0,1.0,1.0
ToiWeezy,0.0,1.0,1.0
whitneyannabel,0.0,1.0,1.0
tennischick38,1.0,1.0,2.0
cnlwsu,1.0,0.0,1.0
zelchamaa,1.0,0.0,1.0
Eric_at_Vlerick,0.0,1.0,1.0
TheRealJordin,0.0,1.0,1.0
MatthewCGoto,0.0,1.0,1.0
jelias27,1.0,0.0,1.0
KelseyRentchler,0.0,1.0,1.0
xoxoYaya,1.0,0.0,1.0
Benazir100,0.0,1.0,1.0
gudem,0.0,1.0,1.0
ClaudiaOropeza,0.0,1.0,1.0
ClaytonCalhoon,0.0,1.0,1.0
EarthFire,0.0,2.0,2.0
dadenisi,1.0,0.0,1.0
pookamachine,0.0,1.0,1.0
ErinJanus,0.0,1.0,1.0
C_Joy,0.0,2.0,2.0
giloi2009,0.0,4.0,4.0
Janen999,1.0,0.0,1.0
Artboredom,0.0,1.0,1.0
Hinn888,0.0,1.0,1.0
hannnnnnnah,1.0,1.0,2.0
romanstrobl,0.0,1.0,1.0
marakristina,0.0,1.0,1.0
jemjem1983,1.0,1.0,2.0
KevinEdwardsJr,4.0,1.0,5.0
marclamonthill,0.0,1.0,1.0
Gem_Meg,0.0,1.0,1.0
dianavi,0.0,1.0,1.0
chris0102,0.0,1.0,1.0
helena445,1.0,0.0,1.0
OhhMegg,1.0,0.0,1.0
melliehopkins,1.0,0.0,1.0
Hetty4Christ,0.0,2.0,2.0
Brazit,0.0,1.0,1.0
Doctor_Rob,0.0,2.0,2.0
Azza77,0.0,1.0,1.0
redmeansriot,0.0,1.0,1.0
dbtp,0.0,1.0,1.0
Meyer_Photo,0.0,1.0,1.0
mayhemstudios,1.0,2.0,3.0
lin_made_scotty,0.0,1.0,1.0
DebBennett555,0.0,1.0,1.0
euthiago,0.0,1.0,1.0
Hailee3,0.0,1.0,1.0
IamGlick,1.0,0.0,1.0
icarusforde,1.0,1.0,2.0
PlanFan,1.0,0.0,1.0
peppa13,0.0,1.0,1.0
hoda7,1.0,0.0,1.0
arobinsonuk,0.0,1.0,1.0
lovessunflowers,1.0,0.0,1.0
ZorkFox,1.0,0.0,1.0
noyolaface,1.0,0.0,1.0
shawty_rock,0.0,2.0,2.0
IzzySc,0.0,1.0,1.0
StarBreatherLuv,1.0,0.0,1.0
kellyzabel,0.0,1.0,1.0
AgingBackwards,0.0,1.0,1.0
earthxplorer,1.0,1.0,2.0
PeaceLovePalin,0.0,1.0,1.0
Sweena,1.0,0.0,1.0
ShortStack_24,1.0,0.0,1.0
LalaaMRCLover,0.0,1.0,1.0
iEhab,1.0,0.0,1.0
HiSkolerNextGen,0.0,1.0,1.0
StewartMoore,0.0,2.0,2.0
Justify_MyselF,0.0,1.0,1.0
mutedecoy,0.0,1.0,1.0
tweeteradder3,0.0,3.0,3.0
jennahmonet,0.0,1.0,1.0
Sleos15,0.0,1.0,1.0
miamstem,0.0,1.0,1.0
EmilyLynneClare,0.0,1.0,1.0
mads_x3,0.0,2.0,2.0
glaciermist06,0.0,1.0,1.0
thetalltree,0.0,1.0,1.0
florianooke,0.0,1.0,1.0
TPDaniel,0.0,1.0,1.0
Custardcuppcake,2.0,1.0,3.0
Sarilec,1.0,0.0,1.0
CandyWWGM,2.0,0.0,2.0
Thatsumbs,0.0,1.0,1.0
karinwinters,0.0,1.0,1.0
kirstenlea,0.0,1.0,1.0
carleen4689,0.0,1.0,1.0
labebita86,0.0,1.0,1.0
JiMpiSh,0.0,2.0,2.0
PYNTK,1.0,0.0,1.0
Pauluz,0.0,1.0,1.0
llShesADoLLll,0.0,1.0,1.0
RoiuhlteeMinaj,0.0,1.0,1.0
what_bugs_u,2.0,7.0,9.0
krissy90220,1.0,0.0,1.0
alvinmsss,1.0,0.0,1.0
jhende02,0.0,1.0,1.0
chengsophia,0.0,1.0,1.0
glamorousamanda,0.0,1.0,1.0
treske71,0.0,1.0,1.0
Lia_arch_angel,1.0,0.0,1.0
kennedypeytonxo,0.0,1.0,1.0
okkaba2000,1.0,0.0,1.0
marymidgetmack,0.0,1.0,1.0
yorlenysolera,1.0,0.0,1.0
Hell_With_An_ER,0.0,1.0,1.0
gigglesalot,0.0,1.0,1.0
ries1973,0.0,1.0,1.0
jrmozart,1.0,0.0,1.0
elailabsyou,1.0,0.0,1.0
JaymesTerence,0.0,1.0,1.0
xllbabycllx,1.0,0.0,1.0
imanwilliams,1.0,2.0,3.0
Owais_Iqbal,1.0,0.0,1.0
iamcassiedavis,1.0,0.0,1.0
xXxSairxXx,1.0,0.0,1.0
jananis,1.0,0.0,1.0
khrystar,1.0,0.0,1.0
lovveeduckies,0.0,1.0,1.0
alexcubla,0.0,1.0,1.0
KidLosoLIVE,0.0,1.0,1.0
YaniTseng,1.0,0.0,1.0
AceBlack,3.0,2.0,5.0
Selenia06,0.0,1.0,1.0
daffyddturner,0.0,1.0,1.0
ryanmathieson,1.0,0.0,1.0
DianeGilabert,0.0,1.0,1.0
fa_jen2004,0.0,1.0,1.0
sagarun,0.0,1.0,1.0
AHDirector,1.0,0.0,1.0
mystatus_update,0.0,2.0,2.0
KirseeR,1.0,0.0,1.0
rahuljrark,1.0,0.0,1.0
Lovellama,0.0,1.0,1.0
sarah_trotter,1.0,0.0,1.0
robyoungrob,1.0,0.0,1.0
