target,id,date,user,tweet
1,2065120693,Sun Jun 07 07:56:20 PDT 2009,FranQuintanilla,@miaakoch good luck in the concert 
1,2062854559,Sun Jun 07 00:31:28 PDT 2009,superxleyley,will play JL. Be right back. 
1,1468164662,Tue Apr 07 00:04:05 PDT 2009,muserine,@chr15t14n  thanks.
1,2064955151,Sun Jun 07 07:33:57 PDT 2009,onemanrock,@bekasaur thank you so much!!!  nice to meet you!
1,1998007153,Mon Jun 01 17:50:10 PDT 2009,MammaSteph,"@RickGershman Totally relate - my mom's a lonely only, so we kids are helping her out with our &quot;nonno&quot;. See? U need to make some kids! "
1,1999930365,Mon Jun 01 21:05:05 PDT 2009,Geidner,calling it a night...  17 pages so far. it's gonna be a looooooong night tomorrow.  goodnight 
1,1998593577,Mon Jun 01 18:48:29 PDT 2009,mollymcxc,There is a Beatles rock band coming out!?!?! 
1,1980829717,Sun May 31 07:46:49 PDT 2009,jess_lawes,finally ordered some prospectuses. 
1,1973137765,Sat May 30 10:33:35 PDT 2009,Heddyy,@singswell Thanks buddy 
1,1693268813,Sun May 03 22:02:15 PDT 2009,sheilal1,@mhwendy We went shopping in both places...  How was the concert?
1,1957301044,Fri May 29 00:05:36 PDT 2009,sumitmenon,@anexemines If u do find someone... Let me know. 
1,1984565510,Sun May 31 15:21:31 PDT 2009,GGSophie,@maliciousmandy1 exaxtly what I said as if they'd try and get it away from her then 
1,1992312336,Mon Jun 01 08:32:54 PDT 2009,ToiWeezy,@TinaGray24 &quot;If ya wanna move than move!&quot;-Mims *singin* &quot;Move if ya wanna if ya wanna if ya wanna move!&quot; It's really that simple. Lol! 
1,1791857572,Wed May 13 21:19:30 PDT 2009,whitneyannabel,and we now have all of freaks and geeks 
1,2177230363,Mon Jun 15 05:43:03 PDT 2009,tennischick38,@kewiki A quik hello/goodmorning to you..have a great Monday! 
1,1564754771,Mon Apr 20 04:48:31 PDT 2009,cnlwsu,@weak sweet! I hope our hours of work helped in some way 
1,1881795270,Fri May 22 05:34:36 PDT 2009,zelchamaa,"@Clarissa326 no, it makes it Friday evening "
1,1680742093,Sat May 02 12:23:24 PDT 2009,Eric_at_Vlerick,Ok. Now i'm listening to the soundtrack of Mamma Mia in a disused mine  and it's on repeat!
1,2000444855,Mon Jun 01 22:07:51 PDT 2009,TheRealJordin,is watching The Fugitive w/ my nana &amp; papa and eating a well deserved drumstick! What? My doctor said eat lots of dairy cuz of the meds! 
1,2186409934,Mon Jun 15 18:47:58 PDT 2009,MatthewCGoto,@IAmCristiH what u doing? 
